dimemployee_fullname,dimemployee_firstname,finishedgoodsflag,dimreseller_ordermonth,factsales_freight,factsales_currencykey,dimdate_monthnumberofyear,productalternatekey,dimreseller_lastorderyear,dimgeography_city,dimsalesterritory_salesterritorykey,dimdate_monthname,dimreseller_yearopened,factsales_orderquantity,productsubcategoryname,dimemployee_gender,productsubcategoryalternatekey,dimdate_fiscalyear,dimemployee_salariedflag,factsales_extendedamount,factsales_ordertime,factsales_productstandardcost,dimreseller_businesstype,factsales_salesorderlinenumber,startdate,dimreseller_resellername_it,dimdate_daynumberofweek,dimgeography_latlong,factsales_productkey,enddate,productsubcategorykey,factsales_unitprice,dimdate_daynumberofyear,dimdate_calendaryear,dimemployee_title,sizeunitmeasurecode,dimreseller_resellerkey,surveyresponse,dimgeography_stateprovincename,dimreseller_addresslineone,dimgeography_countryregionname,dimemployee_maritalstatus,productline,dimemployee_status,dimdate_fulldatealternatekey,dimdate_fiscalsemester,dimreseller_bankname_it,dimgeography_stateprovincecode,productname_es,dimreseller_resellername,dimemployee_birthdate,dimdate_daynumberofmonth,dimemployee_phone,dimgeography_countryregioncode,dimgeography_latlong_geo_subregion,listprice,reorderpoint,dimgeography_latlong_geo_country,dimemployee_employeekey,dimemployee_lastname,productcategoryname,dimdate_fiscalquarter,dimemployee_employeenationalidalternatekey,dimgeography_latlong_geo_postcode,dimreseller_annualsales,dimreseller_minpaymentamount,factsales_salesamount,factsales_salesterritorykey,factsales_taxamt,dimdate_calendarquarter,safetystocklevel,daystomanufacture,dimgeography_latlong_geo_subregionid,factsales_totalproductcost,dimreseller_geographykey,description,dimemployee_emailaddress,dimemployee_salespersonflag,dimemployee_salesterritorykey,factsales_discountamount,dimreseller_productline,dimsalesterritory_salesterritorycountry,dimreseller_addresslinetwo,dimdate_weeknumberofyear,dimreseller_phone,factsales_shipdatekey,factsales_recordspec,factsales_employeekey,dimgeography_latlong_geo_city,d,status,class,dealerprice,factsales_salesordernumber,productname_zh_tw,size,dimsalesterritory_salesterritoryregion,dimreseller_bankname_de,dimreseller_bankname_zh_cn,factsales_carriertrackingnumber,standardcost,dimdate_daynameofweek,dimreseller_minpaymenttype,productcategorykey,productcategoryalternatekey,dimreseller_annualrevenue,factsales_revisionnumber,factsales_orderdatekey,modelname,weight,dimgeography_salesterritorykey,dimsalesterritory_salesterritorygroup,factsales_resellerkey,factsales_shiptime,dimemployee_baserate,factsales_unitpricediscountpct,factsales_duedatekey,factsales_orderduration_duration,style,dimreseller_orderfrequency,dimreseller_firstorderyear,dimemployee_startdate,dimemployee_currentflag,dimgeography_latlong_geo_region,dimgeography_latlong_geo_regionid,productname_it,dimdate_calendarsemester,dimemployee_departmentname,productname,factsales_promotionkey,dimreseller_numberemployees,weightunitmeasurecode,dimgeography_postalcode,factsales_customerponumer,sizerange,dimemployee_hiredate,dimreseller_bankname,dimgeography_geographykey,dimemployee_middlename,color,dimreseller_reselleralternatekey,productcategory,dimdate_datekey
Jillian  Carson,Jillian,,6,5.3991,100,9,SH-M897-M,2008,Saint Louis,3,September,1997,6,Shorts,F,22,2007,1,215.964,20:50:33.000Z,24.7459,Value Added Reseller,33,,World of Bikes,6,38.631451 -90.21415,453,,22,35.994,244,2006,Sales Representative,,327,,Missouri,660 Lindbergh,United States,S,,Current,00:00.,1,Primaria Banca e Riserva [it],MO,,World of Bikes,00:00.,1,517-555-0117,US,Saint Louis,,,US,283,Carson,Clothing,Q1,615389812,63101,800000,600,215.964,3,17.2771,3,,,4407084,148.4754,487,,jillian0@advent,1,3,0,Mountain,United States,,36,695-555-0158,14:38.,SO47378-33,283,St. Louis,dimreseller_businesstype_ja,,,,SO47378,productname_zh_tw,,Central,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,E766-4274-A7,,Friday,3,3,3,80000,1,50:33.,,,3,North America,327,01:14:38.000Z,23.0769,0,00:00.,620645000,,S,2006,00:00.,1,Missouri,4398678,,2,Sales,Men's Sports Shorts,1,17,,63103,PO15341116216,,00:00.,Primary Bank & Reserve,487,,,AW00000327,22,00:00.
Michael G Blythe,Michael,TRUE,5,1.0373,100,2,CA-1098,2008,Houston,4,February,1982,8,Caps,M,19,2007,1,41.492,23:50:10.000Z,5.2297,Value Added Reseller,5,,La Gear Negozio,5,29.749278 -95.34741,224,,19,5.1865,32,2007,Sales Representative,,309,,Texas,2345 North Freeway,United States,S,S ,Current,00:00.,2,Bancario Internazionale [it],TX,,The Gear Store,00:00.,1,257-555-0154,US,Harris County,8.6442,3,US,281,Blythe,Clothing,Q3,841560125,77250,800000,,41.492,4,3.3194,1,4,0,4696376,41.8376,582,Traditional style with a flip-up brim; one-size fits all.,michael9@advent,1,2,0,Mountain,United States,,5,149-555-0113,09:02.,SO49151-5,281,Houston,dimreseller_businesstype_ja,,,5.1865,SO49151,productname_zh_tw,,Southwest,International Bank [de],dimreseller_bankname_zh_cn,D25B-462C-8C,5.2297,Thursday,,3,3,80000,1,50:10.,Cycling Cap,,4,North America,309,08:09:02.000Z,23.0769,0,00:00.,548332000,U ,S,2005,00:00.,1,Texas,4736286,,1,Sales,AWC Logo Cap,1,14,,77003,PO6438151235,NA,00:00.,International Bank,582,G,Multi,AW00000309,19,00:00.
Linda C Mitchell,Linda,,5,5.6985,100,8,GL-F110-M,2008,Gilroy,4,August,1987,10,Gloves,F,20,2007,1,227.94,13:27:03.000Z,15.6709,Value Added Reseller,11,,Giocattoli robuste,3,37.016943 -121.56581,469,,20,22.794,213,2006,Sales Representative,,385,,California,Pacific West Outlet,United States,M,,Current,00:00.,1,Riserva di Sicurezza [it],CA,,Sturdy Toys,00:00.,1,883-555-0116,US,Santa Clara County,,,US,282,Mitchell,Clothing,Q1,191644724,95021,300000,,227.94,4,18.2352,3,,,5393021,156.709,324,,linda3@adventur,1,4,0,Mountain,United States,,31,330-555-0116,04:35.,SO47039-11,282,Gilroy,dimreseller_businesstype_ja,,,,SO47039,productname_zh_tw,,Southwest,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,B548-493E-AE,,Tuesday,1,3,3,30000,1,27:03.,,,4,North America,385,04:04:35.000Z,23.0769,0,00:00.,657452000,,S,2005,00:00.,1,California,5332921,,2,Sales,Full-Finger Gloves,1,7,,95020,PO5684166879,,00:00.,Reserve Security,324,C,,AW00000385,20,00:00.
Jos Edvaldo Saraiva,Jos,TRUE,4,0.6074,98,1,PD-R347,2008,London,10,January,1999,1,Pedals,M,13,2008,1,24.294,22:25:31.000Z,17.9776,Warehouse,4,7/1/2007 0:00,Tours prosperi,3,,545,,13,24.294,1,2008,Sales Representative,,538,,England,99-3 Forest Works,United Kingdom,M,R ,Current,00:00.,2,Custode Della Banca [it],ENG,,Prosperous Tours,00:00.,1,185-555-0169,GB,,40.49,375,,288,Saraiva,Components,Q3,399771412,,3000000,,24.294,10,1.9435,1,500,1,,17.9776,245,Clipless pedals - aluminum.,jos?adventure,1,6,0,Road,United Kingdom,,1,1 (11) 500 555-0179,22:34.,SO61238-4,288,,dimreseller_businesstype_ja,Current,L ,24.294,SO61238,productname_zh_tw,,United Kingdom,Vormund Bank [de],dimreseller_bankname_zh_cn,0A37-46F4-8E,17.9776,Tuesday,2,2,2,300000,1,25:31.,LL Road Pedal,189,10,Europe,538,03:22:34.000Z,23.0769,0,00:00.,622623000,,Q,2006,00:00.,1,,,,1,Sales,LL Road Pedal,1,99,G  ,E17 6JF,PO8410140860,NA,00:00.,Guardian Bank,245,Edvaldo,Silver/Black,AW00000538,13,00:00.
Shu K Ito,Shu,,6,5.0466,100,12,HL-U509-R,2008,Park City,1,December,1972,10,Helmets,M,31,2006,1,201.865,19:39:13.000Z,12.0278,Warehouse,21,,Biciclette e accessori moda,5,40.726899 -111.53674,212,,31,20.1865,335,2005,Sales Representative,,293,,Utah,Sports Store At Park City,United States,M,,Current,00:00.,1,Custode Della Banca [it],UT,AWC Logo Tapa [es],Fashionable Bikes and Accessories,00:00.,1,330-555-0120,US,Summit County,,,US,287,Ito,Accessories,Q2,139397894,84098,3000000,,201.865,1,16.1492,4,,,5782267,120.278,597,,shu0@adventure-,1,4,0,Mountain,United States,,48,115-555-0113,21:23.,SO44762-21,287,Snyderville,dimreseller_businesstype_ja,,,,SO44762,productname_zh_tw,,Northwest,Vormund Bank [de],dimreseller_bankname_zh_cn,553E-437E-92,,Thursday,2,4,4,300000,1,39:13.,,,1,North America,293,20:21:23.000Z,23.0769,0,00:00.,607330000,,Q,2005,00:00.,1,Utah,5549030,AWC Logo Berretto [it],2,Sales,Sport-100 Helmet,1,90,,84098,PO13543176259,,00:00.,Guardian Bank,597,K,,AW00000293,31,00:00.
Tsvi Michael Reiter,Tsvi,,5,155.3565,100,2,BK-M68S-42,2007,Gulfport,5,February,1999,5,Mountain Bikes,M,1,2007,1,6214.259,13:31:14.000Z,1117.8559,Warehouse,16,,eCommerce Bikes,5,30.380597 -89.09626,354,,1,1242.8518,32,2007,Sales Representative,CM ,566,,Mississippi,Gulfport Factory Shops,United States,M,,Current,00:00.,2,Custode Della Banca [it],MS,,eCommerce Bikes,00:00.,1,664-555-0112,US,Harrison County,,,US,285,Reiter,Bikes,Q3,716374314,39501,3000000,,6214.259,5,497.1407,1,,,4429197,5589.2795,489,,tsvi0@adventure,1,5,0,Mountain,United States,,5,695-555-0111,43:32.,SO49149-16,285,Gulfport,dimreseller_businesstype_ja,,,,SO49149,productname_zh_tw,,Southeast,Vormund Bank [de],dimreseller_bankname_zh_cn,D41E-4EFF-A5,,Thursday,,1,1,300000,1,31:14.,,,5,North America,566,22:43:32.000Z,23.0769,0,00:00.,637938000,,Q,2005,00:00.,1,Mississippi,4436296,,1,Sales,Mountain-200 Silver,1,58,LB ,39501,PO5858123072,,00:00.,Guardian Bank,489,Michael,,AW00000566,1,00:00.
Pamela O Ansman-Wolfe,Pamela,,6,68.8497,100,6,BK-M68B-46,2008,Kirkland,1,June,1975,2,Mountain Bikes,F,1,2008,1,2753.988,13:53:24.000Z,1251.9813,Value Added Reseller,15,,Finer Parti Negozio,1,47.67903 -122.1934,363,,1,1376.994,153,2008,Sales Representative,CM ,542,,Washington,2526a Tri-Lake Blvd Ne,United States,S,,Current,00:00.,2,Primaria Internazionale [it],WA,Monta?a-200 Negro [es],Finer Parts Shop,00:00.,1,340-555-0193,US,King County,,,US,286,Ansman-Wolfe,Bikes,Q4,61161660,98033,800000,,2753.988,1,220.319,2,,,5799783,2503.9626,623,,pamela0@adventu,1,1,0,Mountain,United States,,23,129-555-0185,34:51.,SO71880-15,286,Kirkland,dimreseller_businesstype_ja,,,,SO71880,productname_zh_tw,,Northwest,Prim?r International [de],dimreseller_bankname_zh_cn,B0C7-4858-91,,Sunday,2,1,1,80000,1,53:24.,,,1,North America,542,09:34:51.000Z,23.0769,0,00:00.,589287000,,S,2005,00:00.,1,Washington,5815135,Montagna-300 Nero [it],1,Sales,Mountain-200 Black,1,18,LB ,98033,PO7395117544,,00:00.,Primary International,623,O,,AW00000542,1,00:00.
Jae B Pak,Jae,TRUE,5,0.6074,19,8,HB-M243,2007,Toronto,6,August,1979,1,Handlebars,F,4,2007,1,24.2945,15:50:11.000Z,17.978,Warehouse,9,7/1/2006 0:00,Mercantile uscita,3,,397,6/30/2007 0:00,4,24.2945,213,2006,Sales Representative,,653,,Ontario,2520 Flanders Road,Canada,M,M ,Current,00:00.,1,Sicurezza Internazionale [it],ON,,Mercantile Outlet,00:00.,1,1 (11) 500 555-,CA,,40.4909,375,,291,Pak,Components,Q1,668991357,,3000000,600,24.2945,6,1.9436,3,500,1,,17.978,93,All-purpose bar for on or off-road.,jae0@adventure-,1,10,0,Mountain,Canada,,31,680-555-0160,16:52.,SO46938-9,291,,dimreseller_businesstype_ja,,L ,24.2945,SO46938,productname_zh_tw,,Canada,International Sicherheit [de],dimreseller_bankname_zh_cn,2E58-4440-89,17.978,Tuesday,3,2,2,300000,1,50:11.,LL Mountain Handlebars,,6,North America,653,18:16:52.000Z,23.0769,0,00:00.,613601000,,Q,2006,00:00.,1,,,,2,Sales,LL Mountain Handlebars,1,66,,M4B 1V4,PO19198122384,NA,00:00.,International Security,93,B,NA,AW00000653,4,00:00.
Jos Edvaldo Saraiva,Jos,,5,24.2996,98,8,BK-R19B-58,2008,Bracknell,10,August,2000,3,Road Bikes,M,2,2008,1,971.982,21:59:31.000Z,343.6496,Value Added Reseller,15,,Bike Shop Estremo,4,,584,,2,323.994,213,2007,Sales Representative,CM ,430,"I love the bike!  Jake was spot on suggesting a hybrid instead of a mountain bike for my daily commute, thank you.",England,Ellesfield Ave,United Kingdom,M,,Current,00:00.,1,Primaria Internazionale [it],ENG,,Uttermost Bike Shop,00:00.,1,185-555-0169,GB,,,,,288,Saraiva,Bikes,Q1,399771412,,800000,,971.982,10,77.7586,3,,,,1030.9488,233,,jos?adventure,1,6,0,Road,United Kingdom,,31,1 (11) 500 555-0118,59:10.,SO51771-15,288,,dimreseller_businesstype_ja,,,,SO51771,productname_zh_tw,,United Kingdom,Prim?r International [de],dimreseller_bankname_zh_cn,F78B-4D68-8E,,Wednesday,,1,1,80000,1,59:31.,,,10,Europe,430,02:59:10.000Z,23.0769,0,00:00.,622779000,,S,2006,00:00.,1,,,,2,Sales,Road-750 Black,1,19,LB ,RG12 8TB,PO1508157846,,00:00.,Primary International,233,Edvaldo,,AW00000430,2,00:00.
Linda C Mitchell,Linda,,5,313.1987,100,2,BK-M68S-46,2008,Tooele,1,February,1988,9,Mountain Bikes,F,1,2008,1,12527.946,20:41:08.000Z,1265.6195,Value Added Reseller,21,,Freni e Ingranaggi,6,40.560528 -112.29455,357,,1,1391.994,32,2008,Sales Representative,CM ,697,,Utah,9927 N. Main St.,United States,M,,Current,00:00.,2,Uniti Sicurezza [it],UT,,Brakes and Gears,00:00.,1,883-555-0116,US,Tooele County,,,US,282,Mitchell,Bikes,Q3,191644724,84074,800000,600,12527.946,1,1002.2357,1,,,5783699,11390.5755,601,,linda3@adventur,1,4,0,Mountain,United States,,6,774-555-0133,48:37.,SO63131-21,282,Tooele,dimreseller_businesstype_ja,,,,SO63131,productname_zh_tw,,Northwest,Vereint Sicherheit [de],dimreseller_bankname_zh_cn,E035-4732-84,,Friday,3,1,1,80000,1,41:08.,,,1,North America,697,07:48:37.000Z,23.0769,0,00:00.,644849000,,S,2005,00:00.,1,Utah,5549030,,1,Sales,Mountain-200 Silver,1,12,LB ,84074,PO18676136384,,00:00.,United Security,601,C,,AW00000697,1,00:00.
Shu K Ito,Shu,,6,8.1964,100,9,LJ-0192-M,2007,Santa Monica,4,September,1999,12,Jerseys,M,21,2007,1,334.548,14:25:18.000Z,29.0807,Warehouse,25,,Bicicletta Merchandise Magazzino,6,34.01491 -118.4922,230,,21,27.879,244,2006,Sales Representative,,239,,California,409 Santa Monica Blvd.,United States,M,,Current,00:00.,1,Bancario Internazionale [it],CA,Largo-Manga Logo Jersey [es],Bicycle Merchandise Warehouse,00:00.,1,330-555-0120,US,Los Angeles County,,,US,287,Ito,Clothing,Q1,139397894,90401,3000000,600,327.857,4,26.2286,3,,,5368381,348.9684,369,,shu0@adventure-,1,4,6.691,Road,United States,,36,529-555-0195,50:29.,SO47369-25,287,Santa Monica,dimreseller_businesstype_ja,,,,SO47369,productname_zh_tw,,Southwest,International Bank [de],dimreseller_bankname_zh_cn,B6B6-442B-8B,,Friday,3,3,3,300000,1,25:18.,,,4,North America,239,03:50:29.000Z,23.0769,0.02,00:00.,653111000,,Q,2006,00:00.,1,California,5332921,Manica Lunga Logo Maglietta [it],2,Sales,Long-Sleeve Logo Jersey,2,58,,90401,PO16472118462,,00:00.,International Bank,369,K,,AW00000239,21,00:00.
Garrett R Vargas,Garrett,,5,8.1113,19,2,FR-R72Y-38,2007,Toronto,6,February,1999,1,Road Frames,M,14,2007,1,324.4527,14:12:45.000Z,300.1188,Warehouse,11,,Nazionale di produzione,5,,417,,14,324.4527,32,2007,Sales Representative,CM ,102,,Ontario,630 University Avenue,Canada,M,,Current,00:00.,2,Uniti Sicurezza [it],ON,ML Carretera Marco-W - Amarillo [es],National Manufacturing,00:00.,1,922-555-0165,CA,,,,,284,Vargas,Components,Q3,234474252,,3000000,,324.4527,6,25.9562,1,,,,300.1188,96,,garrett1@advent,1,6,0,Road,Canada,,5,493-555-0134,26:41.,SO49103-11,284,,dimreseller_businesstype_ja,,,,SO49103,productname_zh_tw,,Canada,Vereint Sicherheit [de],dimreseller_bankname_zh_cn,0B8A-4326-8A,,Thursday,2,2,2,300000,1,12:45.,,,6,North America,102,20:26:41.000Z,23.0769,0,00:00.,627236000,,Q,2005,00:00.,1,,,ML Strada Telaio-W - Giallo [it],1,Sales,ML Road Frame-W - Yellow,1,99,LB ,M4B 1V7,PO17748175932,,00:00.,United Security,96,R,,AW00000102,14,00:00.
Jillian  Carson,Jillian,,6,4.5985,100,3,FR-R38R-44,2008,Irving,4,March,1974,1,Road Frames,F,14,2006,1,183.9382,18:26:31.000Z,181.4857,Warehouse,9,,Componenti bici avanzate,4,32.826729 -96.9614,262,,14,183.9382,60,2006,Sales Representative,CM ,3,,Texas,12345 Sterling Avenue,United States,S,,Current,00:00.,2,Primaria Internazionale [it],TX,LL Carretera Marco - Rojo [es],Advanced Bike Components,00:00.,1,517-555-0117,US,Dallas County,,,US,283,Carson,Components,Q3,615389812,75084,1500000,,183.9382,4,14.7151,1,,,4684904,181.4857,584,,jillian0@advent,1,3,0,Road,United States,,9,279-555-0130,39:25.,SO45568-9,283,Irving,dimreseller_businesstype_ja,,,,SO45568,productname_zh_tw,,Southwest,Prim?r International [de],dimreseller_bankname_zh_cn,32F9-4A87-9D,,Wednesday,2,2,2,150000,1,26:31.,,,4,North America,3,23:39:25.000Z,23.0769,0,00:00.,623574000,,Q,2005,00:00.,1,Texas,4736286,ML Strada Telaio - Rosso [it],1,Sales,LL Road Frame - Red,1,40,LB ,75061,PO6786144925,,00:00.,Primary International,584,,,AW00000003,14,00:00.
Michael G Blythe,Michael,,5,4.4994,100,8,TG-W091-L,2008,Saginaw,3,August,1991,4,Tights,M,24,2007,1,179.976,00:46:43.000Z,30.9334,Specialty Bike Shop,2,,Grand Sport Boutique,3,43.413975 -83.91427,458,,24,44.994,213,2006,Sales Representative,,377,,Michigan,99800 Tittabawasee Rd.,United States,S,,Current,00:00.,1,Custode Della Banca [it],MI,,Grand Sport Boutique,00:00.,1,257-555-0154,US,Saginaw County,,,US,281,Blythe,Clothing,Q1,841560125,48601,1500000,,179.976,3,14.3981,3,,,5007996,123.7336,470,,michael9@advent,1,2,0,Road,United States,,31,941-555-0155,09:41.,SO46968-2,281,Buena Vista,dimreseller_businesstype_ja,,,,SO46968,productname_zh_tw,,Central,Vormund Bank [de],dimreseller_bankname_zh_cn,280B-4350-80,,Tuesday,2,3,3,150000,1,46:43.,,,3,North America,377,14:09:41.000Z,23.0769,0,00:00.,566578000,,A,2006,00:00.,1,Michigan,5001836,,2,Sales,Women's Tights,1,46,,48601,PO15254133264,,00:00.,Guardian Bank,470,G,,AW00000377,24,00:00.
Michael G Blythe,Michael,,6,4.4994,100,9,TG-W091-L,2008,Novi,3,September,1976,4,Tights,M,24,2007,1,179.976,23:00:25.000Z,30.9334,Value Added Reseller,28,,"Fabrikam Inc., West",6,42.462734 -83.45865,458,,24,44.994,244,2006,Sales Representative,,197,,Michigan,46460 West Oaks Drive,United States,S,,Current,00:00.,1,Bancario Internazionale [it],MI,,"Fabrikam Inc., West",00:00.,1,257-555-0154,US,Oakland County,,,US,281,Blythe,Clothing,Q1,841560125,48376,800000,,179.976,3,14.3981,3,,,5004223,123.7336,466,,michael9@advent,1,2,0,Mountain,United States,,36,224-555-0126,46:20.,SO47394-28,281,Novi,dimreseller_businesstype_ja,,,,SO47394,productname_zh_tw,,Central,International Bank [de],dimreseller_bankname_zh_cn,7FC9-4002-83,,Friday,2,3,3,80000,1,00:25.,,,3,North America,197,12:46:20.000Z,23.0769,0,00:00.,567955000,,S,2006,00:00.,1,Michigan,5001836,,2,Sales,Women's Tights,1,12,,48375,PO12354143510,,00:00.,International Bank,466,G,,AW00000197,24,00:00.
Linda C Mitchell,Linda,,6,44.6123,100,12,FR-R72Y-48,2008,Union City,4,December,1979,5,Road Frames,F,14,2008,1,1784.49,05:33:10.000Z,360.9428,Warehouse,41,,Eastside Department Store,7,37.592184 -122.04577,436,,14,356.898,335,2007,Sales Representative,CM ,24,,California,9992 Whipple Rd,United States,M,,Current,00:00.,1,Primaria Internazionale [it],CA,ML Carretera Marco-W - Amarillo [es],Eastside Department Store,00:00.,1,883-555-0116,US,Alameda County,,,US,282,Mitchell,Components,Q2,191644724,94587,3000000,,1784.49,4,142.7592,4,,,5322745,1804.714,376,,linda3@adventur,1,4,0,Road,United States,,49,926-555-0164,52:15.,SO58909-41,282,Union City,dimreseller_businesstype_ja,,,,SO58909,productname_zh_tw,,Southwest,Prim?r International [de],dimreseller_bankname_zh_cn,EBC4-496C-90,,Saturday,1,2,2,300000,1,33:10.,,,4,North America,24,07:52:15.000Z,23.0769,0,00:00.,613145000,,Q,2006,00:00.,1,California,5332921,ML Strada Telaio-W - Giallo [it],2,Sales,ML Road Frame-W - Yellow,1,61,LB ,94587,PO19343180161,,00:00.,Primary International,376,C,,AW00000024,14,00:00.
Jillian  Carson,Jillian,,6,21.8454,100,12,FR-M63S-40,2008,Novi,3,December,1976,4,Mountain Frames,F,12,2008,1,873.816,08:49:28.000Z,199.3757,Value Added Reseller,36,,"Fabrikam Inc., West",7,42.462734 -83.45865,511,,12,218.454,335,2007,Sales Representative,CM ,197,,Michigan,46460 West Oaks Drive,United States,S,,Current,00:00.,1,Bancario Internazionale [it],MI,ML Monta?a Marco-W - Plata [es],"Fabrikam Inc., West",00:00.,1,517-555-0117,US,Oakland County,,,US,283,Carson,Components,Q2,615389812,48376,800000,,873.816,3,69.9053,4,,,5004223,797.5028,466,,jillian0@advent,1,3,0,Mountain,United States,,49,224-555-0126,38:42.,SO58944-36,283,Novi,dimreseller_businesstype_ja,,,,SO58944,productname_zh_tw,,Central,International Bank [de],dimreseller_bankname_zh_cn,90AC-4F21-90,,Saturday,2,2,2,80000,1,49:28.,,,3,North America,197,17:38:42.000Z,23.0769,0,00:00.,636554000,,S,2006,00:00.,1,Michigan,5001836,LL Montagna Sedile/Sella [it],2,Sales,ML Mountain Frame-W - Silver,1,12,LB ,48375,PO12354164168,,00:00.,International Bank,466,,,AW00000197,12,00:00.
Linda C Mitchell,Linda,,6,40.488,100,6,FR-M94B-42,2008,Cerritos,4,June,1977,2,Mountain Frames,F,12,2008,1,1619.52,07:38:42.000Z,739.041,Warehouse,20,,Trailblazing Sport,1,33.868314 -118.06754,298,,12,809.76,153,2008,Sales Representative,CM ,187,,California,251340 E. South St.,United States,M,,Current,00:00.,2,Primaria Banca e Riserva [it],CA,HL Monta?a Marco - Negro [es],Trailblazing Sports,00:00.,1,883-555-0116,US,Los Angeles County,,,US,282,Mitchell,Components,Q4,191644724,90703,3000000,,1619.52,4,129.5616,2,,,5368381,1478.082,306,,linda3@adventur,1,4,0,Mountain,United States,,23,491-555-0132,33:01.,SO71845-20,282,Cerritos,dimreseller_businesstype_ja,,,,SO71845,productname_zh_tw,,Southwest,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,4781-4673-85,,Sunday,1,2,2,300000,1,38:42.,,,4,North America,187,16:33:01.000Z,23.0769,0,00:00.,550459000,,Q,2005,00:00.,1,California,5332921,HL Montagna Telaio - Nero [it],1,Sales,HL Mountain Frame - Black,1,91,LB ,90703,PO2697119362,,00:00.,Primary Bank & Reserve,306,C,,AW00000187,12,00:00.
David R Campbell,David,,5,5.0583,100,8,FR-R38R-60,2007,Longview,1,August,1997,1,Road Frames,M,14,2007,1,202.332,02:53:13.000Z,187.1571,Value Added Reseller,9,,Certo e affidabile Sporting Goods,3,46.156082 -122.98043,271,,14,202.332,213,2006,Sales Representative,CM ,218,Jillian was very professional and return all my calls promptly.  All of my orders were fulfilled to satisfaction and delivered on time.,Washington,7990 Ocean Beach Hwy.,United States,S,,Current,00:00.,1,Bancario Internazionale [it],WA,LL Carretera Marco - Rojo [es],Sure & Reliable Sporting Goods,00:00.,1,740-555-0182,US,Cowlitz County,,,US,289,Campbell,Components,Q1,987554265,98632,800000,200,202.332,1,16.1866,3,,,5791206,187.1571,625,,david8@adventur,1,1,0,Road,United States,,31,476-555-0139,52:47.,SO47066-9,289,Longview,dimreseller_businesstype_ja,,,,SO47066,productname_zh_tw,,Northwest,International Bank [de],dimreseller_bankname_zh_cn,5E42-48DE-80,,Tuesday,3,2,2,80000,1,53:13.,,,1,North America,218,21:52:47.000Z,23.0769,0,00:00.,586774000,,S,2005,00:00.,1,Washington,5815135,ML Strada Telaio - Rosso [it],2,Sales,LL Road Frame - Red,1,17,LB ,98632,PO8816154123,,00:00.,International Bank,625,R,,AW00000218,14,00:00.
Linda C Mitchell,Linda,TRUE,6,11.1773,100,9,FW-R762,2008,Santa Ana,4,September,1971,3,Wheels,F,17,2007,1,447.093,09:59:51.000Z,110.2829,Specialty Bike Shop,2,,Nello sport negozio,6,33.747017 -117.86248,414,,17,149.031,244,2006,Sales Representative,,649,,California,Po Box 252525,United States,M,R ,Current,00:00.,1,Primaria Banca e Riserva [it],CA,,Sports Products Store,00:00.,1,883-555-0116,US,Orange County,248.385,375,US,282,Mitchell,Components,Q1,191644724,92725,1000000,,447.093,4,35.7674,3,500,1,5379524,330.8487,367,Sturdy alloy features a quick-release hub.,linda3@adventur,1,4,0,Road,United States,,36,245-555-0191,22:56.,SO47372-2,282,Santa Ana,dimreseller_businesstype_ja,,M ,149.031,SO47372,productname_zh_tw,,Southwest,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,70B5-428B-86,110.2829,Friday,1,2,2,100000,1,59:51.,ML Road Front Wheel,850,4,North America,649,08:22:56.000Z,23.0769,0,00:00.,598985000,,A,2006,00:00.,1,California,5332921,,2,Sales,ML Road Front Wheel,1,28,G  ,92701,PO16124198007,NA,00:00.,Primary Bank & Reserve,367,C,Black,AW00000649,17,00:00.
Tsvi Michael Reiter,Tsvi,,4,2.5233,100,7,HL-U509-B,2007,Merritt Island,5,July,1994,5,Helmets,M,31,2006,1,100.9325,00:06:45.000Z,12.0278,Value Added Reseller,11,,Juvenile Sports Equipment,6,28.350373 -80.6691,220,,31,20.1865,182,2005,Sales Representative,,315,,Florida,78025 E. Mercy Island Cswy,United States,M,,Current,00:00.,1,Riserva di Sicurezza [it],FL,AWC Logo Tapa [es],Juvenile Sports Equipment,00:00.,1,664-555-0112,US,Brevard County,,,US,285,Reiter,Accessories,Q1,716374314,32956,800000,,100.9325,5,8.0746,3,,,4148826,60.139,408,,tsvi0@adventure,1,5,0,Mountain,United States,,27,843-555-0175,47:38.,SO43694-11,285,Rockledge,dimreseller_businesstype_ja,,,,SO43694,productname_zh_tw,,Southeast,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,EC3D-48E0-A6,,Friday,2,4,4,80000,1,06:45.,,,5,North America,315,14:47:38.000Z,23.0769,0,00:00.,571253000,,S,2005,00:00.,1,Florida,4155751,AWC Logo Berretto [it],2,Sales,Sport-100 Helmet,1,18,,32952,PO9657130250,,00:00.,Reserve Security,408,Michael,,AW00000315,31,00:00.
